,Nom,Né le,Département de naissance,Département de mort
2731,Mourad Kaouah,11 avril 1919,Lieu,Inconnu
2732,"Gabriel, Francisco Lisette",2 avril 1919,Landes,Inconnu
2733,Régis Perbet,25 mars 1919,Haute-Loire,Lieu
2734,Fernand Marin,19 mars 1919,Vaucluse,Vaucluse
2735,Henri Darras,13 mars 1919,Haute-Saône,Inconnu
2736,Jacques Sanglier,22 février 1919,Inconnu,Inconnu
2737,"Charles, Marius Reboul",17 février 1919,Vaucluse,Vaucluse
2738,Philippe Duprat-Geneau dit Dechartre,14 février 1919,Inconnu,Inconnu
2739,Maurice Herzog,15 janvier 1919,Inconnu,Inconnu
2740,Armand Nass,9 janvier 1919,Moselle,Moselle
2741,Ikhia Aboubekr Zodi,1er janvier 1919,Inconnu,Inconnu
2742,Dominique Wapler,1er janvier 1919,Haute-Savoie,Paris
2743,Marcel Lemoine,23 décembre 1918,Indre,Indre
2744,Marie-Madeleine Signouret,20 décembre 1918,Vaucluse,Inconnu
2745,Pierre Tabanou,14 décembre 1918,Gard,Inconnu
2746,Louis Odru,9 décembre 1918,Alpes-Maritimes,Inconnu
2747,Camille Vallin,22 novembre 1918,Rhône,Inconnu
2748,Armand Ducap,16 novembre 1918,Haute-Garonne,Haute-Garonne
2749,Mohamed Bedredine,4 novembre 1918,Seine-Maritime,Inconnu
2750,Maurice Cornette,26 octobre 1918,Nord,Nord
2751,Marcel Servin,20 octobre 1918,Moselle,Inconnu
2752,Albert Marcenet,19 octobre 1918,Nièvre,Loiret
2753,"Maurice, François, Marcel, Joseph Cormier",13 octobre 1918,Inconnu,Inconnu
2754,Edgard Pisani,9 octobre 1918,Inconnu,Inconnu
2755,Jacques Genton,22 septembre 1918,Cher,Cher
2756,"Jacques, Jean, Edmond Ducreux-Tacnet",20 septembre 1918,Seine,Ain
2757,Gabriel Bouthière,3 septembre 1918,Inconnu,Inconnu
2758,Jean-Baptiste Biaggi,27 août 1918,Haute-Corse,Inconnu
2759,Léopold Héder,16 août 1918,Guyane,Pyrénées-Atlantiques
2760,Olivier Lefèvre d'Ormesson,5 août 1918,Basses-Pyrénées,Loiret
2761,"Guy, Marie, Xavier, Jacques de Boysson",5 août 1918,Savoie,Paris
2762,Bernard Marie,17 juin 1918,Haute-Garonne,Inconnu
2763,François Grussenmeyer,11 mai 1918,Bas-Rhin,Bas-Rhin
2764,Alain Savary,25 avril 1918,Paris,Inconnu
2765,Maurice Druon,23 avril 1918,Seine,Paris
2766,"Guy, Eugène, Louis Rabourdin",20 avril 1918,Inconnu,Inconnu
2767,Jean-Claude Servan-Schreiber,11 avril 1918,Seine,Paris
2768,Robert Salmon,6 avril 1918,Paris,Inconnu
2769,André-Georges Voisin,28 mars 1918,Inconnu,Inconnu
2770,Léopold Figuères,27 mars 1918,Pyrénées-Orientales,Pyrénées-Orientales
2771,Jacques Richard,23 mars 1918,Mayenne,Alpes-Maritimes
2772,Alexandre Bolo,22 mars 1918,Loire-Inférieure,Lieu
2773,"Jacques, Robert Baumel",6 mars 1918,Inconnu,Inconnu
2774,René Rieubon,4 mars 1918,Gard,Lieu
2775,Jacques Boyer-Andrivet,21 février 1918,Gironde,Gironde
2776,"Michel, Pierre Vincent",21 février 1918,Vosges,Inconnu
2777,Louis Bruelle,17 février 1918,Paris,Inconnu
2778,Joël Le Tac,15 février 1918,Seine,Yvelines
2779,Maurice Molinet,15 février 1918,Inconnu,Inconnu
2780,Charles Deprez,14 février 1918,Inconnu,Inconnu
2781,Gabriel Paul,27 janvier 1918,Finistère,Inconnu
2782,"Paul, Emile, Michel Theeten",23 janvier 1918,Paris,Inconnu
2783,René Gaillard,22 janvier 1918,Deux-Sèvres,Lieu
2784,Pierre Jalu,21 janvier 1918,Gard,Gard
2785,Jacques Maziol,13 janvier 1918,Cantal,Cantal
2786,Henri Fabre,21 décembre 1917,Var,Var
2787,Jean Turco,19 décembre 1917,Inconnu,Inconnu
2788,"Pierre, Albert Juge",16 décembre 1917,Seine,Inconnu
2789,Maurice Arreckx,13 décembre 1917,Haute-Vienne,Var
2790,Francis Palméro,8 décembre 1917,Alpes-Maritimes,Alpes-Maritimes
2791,"Raymond, Louis, Jean Cayol",29 novembre 1917,Inconnu,Inconnu
2792,Louis Sallé,29 novembre 1917,Loiret,Inconnu
2793,Maurice Tissandier,23 novembre 1917,Loire,Indre
2794,André Roulland,7 novembre 1917,Dordogne,Dordogne
2795,Guy Sabatier,2 octobre 1917,Lieu,Inconnu
2796,Fernand Darchicourt,26 septembre 1917,Loire,Inconnu
2797,Paul Caillaud,14 septembre 1917,Vendée,Vendée
2798,"Georges, Robert Delatre",11 septembre 1917,Seine-Inférieure,Seine-Maritime
2799,André Duroméa,5 septembre 1917,Seine-Inférieure,Seine-Maritime
2800,"Henriette, Lucienne, Amélie Bosquier",31 août 1917,Gard,Gard
2801,Guy Antoune,27 août 1917,Gironde,Gironde
2802,Xavier Salado,18 août 1917,Paris,Inconnu
2803,René Chazelle,24 juillet 1917,Lieu,Inconnu
2804,Roger Pezout,16 juillet 1917,Inconnu,Inconnu
2805,André Le Floch,12 juillet 1917,Morbihan,Inconnu
2806,"Raymond, Antoine, Charles Mondon",9 juillet 1917,La,La
2807,Jean Jurgensen,4 juillet 1917,Seine,Paris
2808,Ahmed Mohamed,2 juillet 1917,Inconnu,Inconnu
2809,Franck Cazenave,28 juin 1917,Gironde,Paris
2810,"Jacques, Hector, Richard Meyniel",19 juin 1917,Cantal,Cantal
2811,Fernand Berthouin,10 juin 1917,Inconnu,Inconnu
2812,Raymond Colibeau,5 juin 1917,Seine,Alpes-Maritimes
2813,Jean Fonteneau,25 mai 1917,Hautes-Pyrénées,Inconnu
2814,Pierre-paul Giacomi,15 mai 1917,Haute-Corse,Paris
2815,Philippe Farine,1er mai 1917,Paris,Inconnu
2816,Edmond Garcin,24 avril 1917,Inconnu,Inconnu
2817,"Victor, Luis Reoyo",22 avril 1917,Haute-Garonne,Gironde
2818,Hélène Le Jeune,22 avril 1917,Côtes,Lieu
2819,"Octave, Yvon Amiot",21 avril 1917,Allier,Allier
2820,"Marcel ,Pouvanaa Oopa",21 avril 1917,Etablissements,Paris
2821,Pierre Monfrais,17 avril 1917,Seine,Paris
2822,Robert Pesquet,9 avril 1917,Manche,Inconnu
2823,Raymond Bouillol,8 avril 1917,Isère,Inconnu
2824,"Yvon, François Grasset",19 mars 1917,Hérault,Inconnu
2825,Ali Guettaf,11 mars 1917,Inconnu,Inconnu
2826,Fernand Dupuy,2 mars 1917,Dordogne,Haute-Vienne
2827,Jean Lassère,1er mars 1917,Haute-Garonne,Inconnu
2828,Bernard Destremau,11 février 1917,Seine,Inconnu
2829,"Joseph, Issoufou Conombo",9 février 1917,Inconnu,Inconnu
2830,Marie François-Bénard,2 février 1917,Seine,Inconnu
2831,André Rives-Henrys,24 janvier 1917,Eure,Paris
2832,Mohamed Lamine-Debaghine,24 janvier 1917,Inconnu,Inconnu
2833,Mohamed-Tahar Zeghouf,17 janvier 1917,Aisne,Inconnu
2834,"Jacques, Jean-Marie Arrès-Lapoque",10 janvier 1917,Inconnu,Inconnu
2835,Rémy Montagne,9 janvier 1917,Vaucluse,Inconnu
2836,Henri Jouault,5 janvier 1917,Côtes,Inconnu
2837,Mohamed Dahalani,1er janvier 1917,Inconnu,Inconnu
2838,André-Marie Mbida,1er janvier 1917,Paris,Inconnu
2839,Michel Junot,29 décembre 1916,Seine,Lieu
2840,"André, Justin Saint-Paul",29 décembre 1916,Hautes-Pyrénées,Ariège
2841,Edouard Schloesing,26 décembre 1916,Seine,Paris
2842,"Denise, Eva, Marie Bastide",23 décembre 1916,Cantal,Paris
2843,André Raust,21 décembre 1916,Aveyron,Tarn
2844,Jean Vanier,9 décembre 1916,Marne,Isère
2845,Paul Chapel,2 décembre 1916,Finistère,Morbihan
2846,Albert Davoust,26 novembre 1916,Mayenne,Inconnu
2847,Jean Bertrand,15 novembre 1916,Meurthe,Inconnu
2848,Jean Bertrand,15 novembre 1916,Marne,Marne
2849,Jean Bertrand,11 janvier 1809,Meurthe,Inconnu
2850,Jean Bertrand,11 janvier 1809,Marne,Marne
2851,François Mitterrand,26 octobre 1916,Charente,Paris
2852,Hassan Gouled,15 octobre 1916,Inconnu,Inconnu
2853,Alex Raymond,12 octobre 1916,Savoie,Haute-Garonne
2854,André Pierrard,3 octobre 1916,Nord,Rhône
2855,"Henri, René, Yves, Eusèbe Moulle",17 septembre 1916,Allier,Cher
2856,N'Diaye Sidi El Moktar,13 septembre 1916,Inconnu,Inconnu
2857,André-François Mercier,8 septembre 1916,Paris,Inconnu
2858,Marc Lauriol,18 août 1916,Paris,Inconnu
2859,"Alfred, Pierre, Marie Chupin",13 août 1916,Finistère,Inconnu
2860,Louis Garnier,11 août 1916,Doubs,Alpes-Maritimes
2861,"Hubert, Coutoucou Maga",10 août 1916,Inconnu,Inconnu
2862,Marcel Bousseau,6 août 1916,Vendée,Vendée
2863,Marcel Hoffer,13 juillet 1916,Vosges,Vosges
2864,Joseph Halléguen,2 juillet 1916,Finistère,Finistère
2865,"Lucien, Joseph, François Rose",23 juin 1916,Isère,Inconnu
2866,Diori Hamani Diori,16 juin 1916,Inconnu,Inconnu
2867,Firmin Bédoussac,9 juin 1916,Cantal,Cantal
2868,Justin Catayée,30 mai 1916,Guyane,Guadeloupe
2869,Jean Gallet,18 mai 1916,Inconnu,Inconnu
2870,"Henri, Jean, Lucien Bouret",14 mai 1916,Côtes,Inconnu
2871,Jacques Piette,13 mai 1916,Inconnu,Inconnu
2872,Pierre Baudis,11 mai 1916,Aveyron,Haute-Garonne
2873,Diawadou Barry,10 mai 1916,Inconnu,Inconnu
2874,"Diomède, Anne, Claude Catroux",1er mai 1916,Seine,Paris
2875,Louis Jaillon,28 avril 1916,Jura,Jura
2876,Emmanuel Aubert,23 avril 1916,Inconnu,Inconnu
2877,"Pierre, Joseph Mouchet",26 mars 1916,Haute-Savoie,Haute-Savoie
2878,Jean Delrez,24 mars 1916,Moselle,Moselle
2879,Pierre Messmer,20 mars 1916,Paris,Inconnu
2880,Alphonse Jenn,12 mars 1916,Haut-Rhin,Haut-Rhin
2881,Marcel Bigeard,14 février 1916,Meurthe,Inconnu
2882,Henri Thamier,10 février 1916,Hérault,Haute-Garonne
2883,Michel Soulié,10 février 1916,Loire,Isère
2884,"Raymond, Marius Lefranc",9 février 1916,Aisne,Lieu
2885,Raphaël Touret,6 février 1916,Deux-Sèvres,Paris
2886,Jean Hamelin,2 février 1916,Inconnu,Inconnu
2887,Gérard Jaquet,12 janvier 1916,Inconnu,Inconnu
2888,Albert Maton,3 janvier 1916,Nord,Inconnu
2889,Alban Fagot,1er janvier 1916,Isère,Isère
2890,Pierre Puech-Samson,28 décembre 1915,Tarn,Aude
2891,Robert Fabre,21 décembre 1915,Aveyron,Aveyron
2892,André Collière,8 décembre 1915,Aveyron,Aveyron
2893,René Lamps,5 novembre 1915,Somme,Lieu
2894,Marcel Béraud,27 octobre 1915,Inconnu,Inconnu
2895,Paul Barberot,26 octobre 1915,Ain,Inconnu
2896,"Raymonde Nédelec Née Barbé, Épouse Tillon",22 octobre 1915,Inconnu,Inconnu
2897,Jean Tricart,30 septembre 1915,Haute-Vienne,Haute-Vienne
2898,Ali Mallem,26 septembre 1915,Inconnu,Inconnu
2899,"Marcel, René Perrin",22 septembre 1915,Seine,Vaucluse
2900,"René, Fernand Arthaud",20 septembre 1915,Paris,Inconnu
2901,André Boulloche,7 septembre 1915,Seine,Inconnu
2902,François Levacher,24 août 1915,Inconnu,Inconnu
2903,André Monteil,15 août 1915,Corrèze,Paris
2904,Gilbert Sénès,14 août 1915,Hérault,Hérault
2905,"André, Sébastien, Joseph Tourné",9 août 1915,Pyrénées-Orientales,Pyrénées-Orientales
2906,Jean Dides,5 août 1915,Seine,Charente-Maritime
2907,Georges Santoni,31 juillet 1915,Vaucluse,Lieu
2908,Angelin German,13 juillet 1915,Var,Var
2909,Pierre Godefroy,4 juillet 1915,Manche,Manche
2910,Pierre Godefroy,4 juillet 1915,Manche,Inconnu
2911,Pierre Godefroy,19 mars 1778,Manche,Manche
2912,Pierre Godefroy,19 mars 1778,Manche,Inconnu
2913,Edouard Gaumont,30 juin 1915,Guyane,Yvelines
2914,Jean-Louis Gasparini,9 juin 1915,Savoie,Savoie
2915,Modibo Keita,4 juin 1915,Inconnu,Inconnu
2916,Maurice Masquère,2 juin 1915,Haute-Garonne,Haute-Garonne
2917,René Le Bault de la Morinière,31 mai 1915,Lieu,Inconnu
2918,Robert Chambeiron,22 mai 1915,Seine,Inconnu
2919,"Henri, Albert, Clair, Louis Arnaud",22 mai 1915,Inconnu,Inconnu
2920,Raoul Rousseau,3 mai 1915,Loiret,Dordogne
2921,Emile Muller,20 avril 1915,Haut-Rhin,Haut-Rhin
2922,René La Combe,18 avril 1915,Inconnu,Inconnu
2923,Etienne Ponseillé,16 avril 1915,Tarn,Hérault
2924,Joseph Planeix,8 avril 1915,Inconnu,Inconnu
2925,Pierre Larroque,7 avril 1915,Haute-Garonne,Inconnu
2926,Albert Catalifaud,1er avril 1915,Haute-Vienne,Aisne
2927,Ali Bendjelida,31 mars 1915,Inconnu,Inconnu
2928,Alban Voisin,28 mars 1915,Nord,Nord
2929,Abdelbaki Chibi,22 mars 1915,Lieu,Inconnu
2930,André Noël,16 mars 1915,Inconnu,Inconnu
2931,"Jacques, Michel, Pierre Chaban-Delmas",7 mars 1915,Seine,Paris
2932,Georges Dayan,6 mars 1915,Paris,Inconnu
2933,"Léon, Félix, Benjamin Boutbien",25 février 1915,Seine,Côtes
2934,Albert Fouet,20 février 1915,Vienne,Paris
2935,Albert Voilquin,17 février 1915,Vosges,Vosges
2936,Georges Gorse,15 février 1915,Lot,Paris
2937,Pierre Bourgeois,12 février 1915,Allier,Allier
2938,"Kléber, Georges Loustau",5 février 1915,Inconnu,Inconnu
2939,Rose Guérin,4 février 1915,Paris,Inconnu
2940,René Dejean,4 février 1915,Ariège,Haute-Garonne
2941,Paulette Charbonnel-Duteil Née Vaillant,1er février 1915,Côtes,Morbihan
2942,André Mignot,19 janvier 1915,Yvelines,Inconnu
2943,Pierre Charié,14 janvier 1915,Loiret,Loiret
2944,"Jean, Baptiste, Joseph Balestreri",9 janvier 1915,Haut-Rhin,Haut-Rhin
2945,Jean-Louis Vigier,25 décembre 1914,Pyrénées-Orientales,Pyrénées-Orientales
2946,Noël Chapuis,25 décembre 1914,Isère,Isère
2947,Mohamed Bengana,21 décembre 1914,Inconnu,Inconnu
2948,Maurice Cattin-Bazin,15 décembre 1914,Isère,Isère
2949,Pierre Noal,11 décembre 1914,Seine,Calvados
2950,"Jean, Joseph, Vincent Llante",9 décembre 1914,Pyrénées-Orientales,Haute-Garonne
2951,Joseph Rivière,6 décembre 1914,Loire,Rhône
2952,"Georges, Raoul Gosnat",3 décembre 1914,Cher,Inconnu
2953,Lucien Pignion,2 décembre 1914,Nord,Inconnu
2954,Louis Longequeue,30 novembre 1914,Haute-Vienne,Haute-Vienne
2955,Gilles Gravoille,13 novembre 1914,Loire-Inférieure,Loire-Atlantique
2956,Paul Pernin,30 octobre 1914,Paris,Inconnu
2957,Emile Jourdan,29 octobre 1914,Gard,Gard
2958,Gabriel de Poulpiquet,25 octobre 1914,Finistère,Finistère
2959,Claude Leclercq,16 octobre 1914,Paris,Inconnu
2960,Jacques Rolland,14 octobre 1914,Seine,Paris
2961,Henri Sicard,6 octobre 1914,Dordogne,Dordogne
2962,Paul Alduy,4 octobre 1914,Pyrénées-Orientales,Inconnu
2963,"Michel, Georges Kauffmann",22 septembre 1914,Bas-Rhin,Bas-Rhin
2964,Hafid Maloum,25 août 1914,Inconnu,Inconnu
2965,"Maurice, Jean, Marie Bourgès-Maunoury",19 août 1914,Paris,Inconnu
2966,Raymond Marcellin,19 août 1914,Marne,Paris
2967,"Paul, Marie, Emile Bellec",14 août 1914,Inconnu,Inconnu
2968,Michel Devèze,14 août 1914,Seine,Inconnu
2969,Daniel Matalon,13 août 1914,Inconnu,Inconnu
2970,"Pierre, Emile Guillain de Bénouville",8 août 1914,Paris,Inconnu
2971,Yves Péron,2 août 1914,Côtes,Gironde
2972,"Jean, Robert Pébellier",30 juillet 1914,Haute-Loire,Haute-Loire
2973,François Perrin,24 juillet 1914,Isère,Alpes-Maritimes
2974,Guillaume Le Caroff,22 juillet 1914,Côtes,Côtes
2975,Bertrand Motte,19 juillet 1914,Nord,Côtes
2976,John Teariki,12 juillet 1914,Etablissements,Polynésie
2977,"Arthur, Gustave, Louis Notebart",12 juillet 1914,Nord,Nord
2978,Auguste Tourtaud,3 juillet 1914,Creuse,Alpes-Maritimes
2979,"Louis, Marcel Bernard",29 juin 1914,Nièvre,Nièvre
2980,Raoul Bayou,19 juin 1914,Hérault,Hérault
2981,Robert Richoux,18 juin 1914,Ardennes,Inconnu
2982,Mariani Maximin,13 juin 1914,Guadeloupe,Guadeloupe
2983,Daniel Dreyfous-Ducas,11 juin 1914,Seine,Paris
2984,Charles Privat,8 juin 1914,Gard,Gard
2985,François Leizour,4 juin 1914,Côtes,Finistère
2986,Antoine Gissinger,4 juin 1914,Haut-Rhin,Haut-Rhin
2987,"Pierre, Marie de Boissoneaux de Chevigny",3 juin 1914,Meurthe,Inconnu
2988,Djillali Kaddari,2 juin 1914,Inconnu,Inconnu
2989,Joannès Charpin,20 mai 1914,Rhône,Inconnu
2990,Pierre Lagorce,16 mai 1914,Gironde,Gironde
2991,"Maurice, Benjamin Kriegel-Valrimont",14 mai 1914,Bas-Rhin,Paris
2992,Benjamin Catry,8 mai 1914,Nord,Inconnu
2993,"Jean, Marcel Baumann",5 mai 1914,Vosges,Vosges
2994,"Isabelle, Elizabeth dite Douteau Née Sureau",27 avril 1914,Vienne,Vienne
2995,André Schock,22 avril 1914,Meurthe,Inconnu
2996,Valère Clément,21 avril 1914,La,Alpes-Maritimes
2997,Hégésippe Ibéné,8 avril 1914,Guadeloupe,Guadeloupe
2998,Jacques Douzans,6 avril 1914,Lozère,Haute-Garonne
2999,Raymond Rejaud,6 avril 1914,Seine-Maritime,Inconnu
3000,"André, Pierre Chabanne",3 avril 1914,Charente,Charente-Maritime
