,Nom,Né le,Département de naissance,Département de mort
3001,Marie-Madeleine Dienesch,3 avril 1914,Paris,Inconnu
3002,Robert Gourault,1er avril 1914,Vienne,Vienne
3003,Pierre Dhers,1er avril 1914,Tarn,Lieu
3004,Jean Solinhac,24 mars 1914,Aveyron,Aveyron
3005,"Jean, Marcel Raffarin",23 mars 1914,Vienne,Vienne
3006,Jean Le Lann,20 mars 1914,Finistère,Inconnu
3007,"Raymond, Joseph Mondon",8 mars 1914,Moselle,Moselle
3008,"Roger, Pierre, Gilbert Linet",7 mars 1914,Cher,Inconnu
3009,André Desmulliez,6 mars 1914,Nord,Nord
3010,Robert Gourdon,22 février 1914,Gard,Gard
3011,Abdelmadjid Benhacine,20 février 1914,Hérault,Inconnu
3012,"Henri, Guy, Pierre, Emile Caillavet",13 février 1914,Hautes-Pyrénées,Inconnu
3013,Benoît Macquet,12 février 1914,Loire-Atlantique,Inconnu
3014,Jean Etcheverry-Ainchart,21 janvier 1914,Basses-Pyrénées,Pyrénées-Atlantiques
3015,"Barema, Kissourou Bocoum",1er janvier 1914,Inconnu,Inconnu
3016,André Glon,28 décembre 1913,Côtes,Morbihan
3017,Abbas Gueye,27 décembre 1913,Inconnu,Inconnu
3018,Henri Briffod,20 décembre 1913,Haute-Savoie,Haute-Savoie
3019,Jacques Raphaël-Leygues,18 décembre 1913,Seine,Paris
3020,"Madeleine, Henriette Boutard",16 décembre 1913,Inconnu,Inconnu
3021,Paul Lacavé,13 décembre 1913,Guadeloupe,Guadeloupe
3022,Félix Roquefort,12 décembre 1913,Aude,Aude
3023,"Henri, Louis Chaze",5 décembre 1913,Ardèche,Ardèche
3024,Georges Spénale,29 novembre 1913,Aude,Paris
3025,Michel Couillet,28 novembre 1913,Somme,Lieu
3026,"Jean, Jules, Eugène, Marie Chamant",23 novembre 1913,Yonne,Paris
3027,Pierre Girardot,20 novembre 1913,Basses-Alpes,Inconnu
3028,"Roger, Albert, Marie Crespin",14 novembre 1913,Finistère,Marne
3029,Roland Boudet,9 novembre 1913,Orne,Calvados
3030,"Alphonse, François Penven",3 novembre 1913,Finistère,Finistère
3031,"Pierre, Joseph, Louis, Léon Vitter",29 octobre 1913,Haute-Saône,Haute-Saône
3032,Emile Luciani,28 octobre 1913,Seine,Calvados
3033,Marie Lambert,26 octobre 1913,Finistère,Inconnu
3034,Emile Engel,23 octobre 1913,Moselle,Moselle
3035,André Lacaze,23 octobre 1913,Charente-Maritime,Inconnu
3036,Maurice Andrieu,21 octobre 1913,Aveyron,Haute-Garonne
3037,Rosan Girard,16 octobre 1913,Guadeloupe,Lieu
3038,Jean Toujas,5 octobre 1913,Hautes-Pyrénées,Hautes-Pyrénées
3039,Gilbert Faure,3 octobre 1913,Lot,Ariège
3040,Louis Escande,25 septembre 1913,Ariège,Inconnu
3041,Pierre Carous,17 septembre 1913,Nord,Nord
3042,Raymond Julien,12 septembre 1913,Gironde,Inconnu
3043,Jean Chambon,7 septembre 1913,Haute-Vienne,Paris
3044,"Martin, Andréas Aku",2 septembre 1913,Inconnu,Inconnu
3045,"André, Louis, Victor Lenormand",1er septembre 1913,Calvados,Calvados
3046,Jean Legaret,29 août 1913,Paris,Inconnu
3047,Pierre Hervé,25 août 1913,Finistère,Yonne
3048,François Delmas,24 août 1913,Hérault,Hérault
3049,Emile Dubois,9 août 1913,Nord,Alpes-Maritimes
3050,Jean Bénard-Mousseaux,2 août 1913,Sarthe,Indre
3051,"Roger, Armand Dusseaulx",18 juillet 1913,Seine,Eure
3052,Roger Garaudy,17 juillet 1913,Inconnu,Inconnu
3053,Mohamed Chouadria,14 juillet 1913,Inconnu,Inconnu
3054,"Charles, Léon, Alphonse Margueritte",6 juillet 1913,Calvados,Savoie
3055,Frédéric Dugoujon,30 juin 1913,Rhône,Inconnu
3056,"Claude, Marie Mont",30 juin 1913,Loire,Loire
3057,"Pierre, Guy Coulon",28 juin 1913,Seine,Loire-Atlantique
3058,"Aimé, Fernand, David Césaire",25 juin 1913,Martinique,Martinique
3059,Jacques Rabemananjara,23 juin 1913,Paris,Inconnu
3060,Auguste Mudry,22 juin 1913,Savoie,Savoie
3061,Abderrahmane Bentounès,18 juin 1913,Paris,Inconnu
3062,"André, Jules, Victor Mancey",17 juin 1913,Inconnu,Inconnu
3063,"Hervé, Marie Mao",14 juin 1913,Finistère,Finistère
3064,Roger Frey,11 juin 1913,Inconnu,Inconnu
3065,Jacques Fouchier,10 juin 1913,Deux-Sèvres,Deux-Sèvres
3066,"Aimé, Benjamin, François Paquet",10 mai 1913,Isère,Isère
3067,Marcel Peyrat,10 mai 1913,Creuse,Indre
3068,Roger Lagrange,4 mai 1913,Inconnu,Inconnu
3069,Bernard Muller,24 avril 1913,Loire,Loire
3070,"Georges, André Bourgeois",20 avril 1913,Haut-Rhin,Haut-Rhin
3071,Henri Blary,12 avril 1913,Nord,Nord
3072,"Joseph, Sourou, Migan, Marcellin Apithy",8 avril 1913,Paris,Inconnu
3073,Nicolas Grunitzky,5 avril 1913,Paris,Inconnu
3074,Alexandre Sanguinetti,27 mars 1913,Inconnu,Inconnu
3075,Antoine Chalvet de Récy,20 mars 1913,Seine,Yvelines
3076,"Hector, Joseph Rivierez",19 mars 1913,Guyane,Lieu
