,Nom,Né le,Département de naissance,Département de mort,nombre de mandat,age en année,premier dpt,élection locale
10406,Jean-Claude Chovelon,31 août 1806,Haute-Loire,Inconnu,1.0,42.69952087611225, Haute-Loire,True
10407,"Augustin, Gustave, Joseph, Marie de Marliave",28 août 1806,Tarn,Tarn,1.0,42.247775496235455, Tarn,True
10408,Casimir de Ventavon,25 août 1806,Hautes-Alpes,Isère,1.0,64.93634496919918, Hautes-Alpes,True
10409,"Jean-Charles, Marie, Victor Guerrin",16 août 1806,Haute-Saône,Haute-Saône,2.0,39.397672826830934, Haute-Saône,True
10410,"Bernard, Adolphe Granier de Cassagnac",11 août 1806,Gers,Gers,6.0,45.308692676249144, Gers,True
10411,"James, Jules, Léon Demontry",29 juillet 1806,Inconnu,Inconnu,2.0,41.73579739904175, Côte-d'Or,False
10412,Guillaume Rougeot,18 juillet 1806,Inconnu,Inconnu,1.0,42.81998631074607, Saône-et-Loire,False
10413,"François, Frédéric Gindriez",12 juillet 1806,Paris,Inconnu,1.0,42.431211498973305, Saône-et-Loire,False
10414,"Louis, Barthélemy Reynaud",11 juillet 1806,Seine,Allier,1.0,39.17043121149897, Hérault,False
10415,"Edouard, Louis Piette",9 juillet 1806,Aisne,Aisne,2.0,60.52292950034223, Aisne,True
10416,"Amédée, Nicolas Gayot",2 juillet 1806,Aube,Aube,2.0,42.20670773442848, Aube,True
10417,Pierre Blanc,20 juin 1806,Seine-Inférieure,Savoie,6.0,69.67008898015058, Savoie,False
10418,"Jules, Gabriel Aymé de la Herlière",14 juin 1806,Vosges,Vosges,3.0,45.711156741957566, Vosges,True
10419,François Rollinat,13 juin 1806,Indre,Indre,2.0,41.86173853524983, Indre,True
10420,"Adalbert, Charles, Louis, Augustin d'Hespel",3 juin 1806,Meuse,Nord,1.0,43.186858316221766, Nord,False
10421,Pierre Boissié,26 mai 1806,Inconnu,Inconnu,2.0,41.91101984941821, Lot-et-Garonne,False
10422,"Alexandre, Antonin des Rotours",22 mai 1806,Calvados,Paris,1.0,57.02395619438741, Nord,False
10423,"Etienne, Auguste Ancelon",19 mai 1806,Meurthe,Inconnu,1.0,65.20465434633813, Meurthe-et-Moselle,False
10424,"Antoine, Florent, Théophile Douay",13 mai 1806,Nord,Inconnu,2.0,43.00068446269678, Pas-de-Calais,False
10425,"Henri, Napoléon Mathon de Fogères",5 mai 1806,Loire,Rhône,1.0,39.67967145790554, Loire,True
10426,Théodore Lavignère,30 avril 1806,Haute-Vienne,Haute-Vienne,1.0,70.00958247775496, Haute-Vienne,True
10427,"Régis, Frédéric Granier",27 avril 1806,Vaucluse,Vaucluse,1.0,43.044490075290895, Vaucluse,True
10428,"Philippe, Marie, Napoléon, Nestor Regnard",16 avril 1806,Nord,Inconnu,1.0,42.02053388090349, Nord,True
10429,"Louis, Félix, Dieudonné de Ravinel",16 avril 1806,Vosges,Vosges,4.0,43.31006160164271, Vosges,True
10430,"Abraham, Auguste Breymand",15 avril 1806,Cantal,Cantal,2.0,42.02327173169062, Haute-Loire,False
10431,"Calixte, Joseph, Camille Laforgue-Bellegarde",15 avril 1806,Hautes-Alpes,Hautes-Alpes,1.0,42.02327173169062, Hautes-Alpes,True
10432,Pierre Lafon,12 avril 1806,Lot,Inconnu,1.0,42.4394250513347, Lot,True
10433,Sylvain Guizard,12 avril 1806,Creuse,Creuse,2.0,41.385352498288846, Creuse,True
10434,"Bonaventure, Paul de la Cropte de Chantérac",8 avril 1806,Inconnu,Inconnu,1.0,45.57152635181382, Bouches-du-Rhône,False
10435,"Hippolyte, Jean, Henri, François Le Graverend",7 avril 1806,Paris,Inconnu,3.0,36.17796030116359, Ille-et-Vilaine,False
10436,"Joseph, Adolphe Liouville",24 mars 1806,Paris,Inconnu,1.0,42.08350444900753, Meurthe,False
10437,"Désiré, Jean, Marie, Napoléon Nisard",20 mars 1806,Inconnu,Inconnu,2.0,36.46817248459959, Côte-d'Or,False
10438,"Léon, Marie Wartelle d'Herlincourt",11 mars 1806,Inconnu,Inconnu,4.0,39.181382614647504, Pas-de-Calais,False
10439,"Melchior, Honoré Yvan",6 mars 1806,Basses-Alpes,Alpes-Maritimes,1.0,42.94318959616701, Basses-Alpes,True
10440,"Henri, Pierre, Félix de Laplane",28 février 1806,Inconnu,Inconnu,1.0,39.860369609856264, Basses-Alpes,False
10441,"Henri, Anne, Victurnien de Mortemart de Rochechouart",27 février 1806,Seine,Cher,2.0,43.20602327173169, Seine-Inférieure,False
10442,"Jean, Ernest Reynaud",14 février 1806,Paris,Inconnu,1.0,42.18754277891855, Moselle,False
10443,"Joseph, François Malgaigne",14 février 1806,Vosges,Paris,1.0,41.36618754277892, Seine,False
10444,"Christophe, Léon, Louis Juchault de Lamoricière",5 février 1806,Loire-Inférieure,Somme,3.0,40.440793976728266, Sarthe,False
10445,Gustave Rouland,1er février 1806,,Paris,2.0,40.016427104722794, Seine-Inférieure,False
10446,Pierre Chauvin,29 janvier 1806,Loire-Inférieure,Loire-Atlantique,1.0,43.285420944558524, Loire-Inférieure,True
10447,"André, François, Jules de Limairac",24 janvier 1806,Haute-Marne,Inconnu,1.0,65.51950718685832, Tarn-et-Garonne,False
10448,"Félix, Jean-Baptiste, Fidèle Varin d'Ainvelle",22 janvier 1806,Doubs,Gard,1.0,47.02258726899384, Gard,False
10449,"Ernest, Henri de Grouchy",20 janvier 1806,Seine,Loiret,2.0,51.41683778234086, Loiret,False
10450,"Marie, Louis, François de Vaujuas-Langan",19 janvier 1806,Mayenne,Mayenne,1.0,43.31279945242984, Mayenne,True
10451,Michel Chevalier,13 janvier 1806,Haute-Vienne,Hérault,1.0,39.03353867214237, Aveyron,False
10452,Jean-Jacques Vignerte,12 janvier 1806,Hautes-Pyrénées,Inconnu,1.0,41.39356605065024, Hautes-Pyrénées,True
10453,"Ferdinand, Victorin Barrot",10 janvier 1806,Seine,Paris,4.0,35.93429158110883, Indre-et-Loire,False
10454,"Gaspard, Auguste Launois",7 janvier 1806,Meuse,Meuse,1.0,41.81245722108145, Meuse,True
10455,"Marie,Etienne, Emmanuel, Bertrand de Chabron",5 janvier 1806,Haute-Loire,Haute-Loire,1.0,65.2539356605065, Haute-Loire,True
10456,"Alphonse, Guillaume, Ambroise Ferré des Ferris",30 décembre 1805,Orne,Inconnu,1.0,43.36755646817249, Manche,False
10457,Jean Lavallée,24 décembre 1805,Charente,Charente,1.0,42.32991101984942, Charente,True
10458,"Adolphe, Seligman d'Eichthal",19 décembre 1805,Meurthe,Paris,1.0,40.054757015742645, Sarthe,False
10459,"Ferdinand, Joseph Reymond",13 décembre 1805,Isère,Isère,4.0,43.41409993155373, Isère,True
10460,"Félix, Hippolyte Monseignat du Cluzel",11 décembre 1805,Aveyron,Aveyron,2.0,34.38466803559206, Aveyron,True
10461,"Hortensius, Marie, Philibert Rousselin de Corbeau de Saint-Albin",8 décembre 1805,Sarthe,Inconnu,5.0,31.66324435318275, Sarthe,True
10462,"Gustave, François, Marie de Girard",4 décembre 1805,Hérault,Inconnu,1.0,44.0848733744011, Hérault,True
10463,Agricol Perdiguier,3 décembre 1805,Vaucluse,Paris,2.0,43.115674195756334, Seine,False
10464,"Jacques, Frédéric Farconnet",29 novembre 1805,Isère,Isère,2.0,42.39835728952772, Isère,True
10465,"Jean-Baptiste, Clément Dulac",26 novembre 1805,Guadeloupe,Inconnu,1.0,43.460643394934976, Dordogne,False
10466,François Bel,25 novembre 1805,Haute-Savoie,Savoie,3.0,70.23682409308692, Savoie,False
10467,Edmond Drouyn de Luys,19 novembre 1805,Seine,Paris,4.0,36.799452429842574, Seine-et-Marne,False
10468,Pierre Soury-Lavergne,19 novembre 1805,Haute-Vienne,Haute-Vienne,1.0,65.70020533880904, Haute-Vienne,True
10469,"Adolphe, Augustin, Marie Billault",12 novembre 1805,Morbihan,Loire-Atlantique,6.0,31.33196440793977, Loire-Inférieure,False
10470,"Marc, Antoine Brice",11 novembre 1805,Meurthe,Inconnu,1.0,65.72210814510609, Meurthe-et-Moselle,False
10471,"Antoine, Edouard Halligon",9 novembre 1805,Seine,Paris,1.0,51.65229295003422, Mayenne,False
10472,"Jacques, Ariste Trouvé-Chauvel",8 novembre 1805,Sarthe,Paris,1.0,42.69952087611225, Sarthe,True
10473,"Adolphe, Claude Guérin",5 novembre 1805,Orne,Inconnu,1.0,42.95140314852841, Orne,True
10474,Jean-Baptiste Etcheverry,4 novembre 1805,Basses-Pyrénées,Paris,3.0,46.88569472963724, Basses-Pyrénées,True
10475,"Ernest, Charles, Auguste Mame",3 novembre 1805,Inconnu,Inconnu,2.0,54.61738535249829, Indre-et-Loire,False
10476,"Charles, Eustache Corta",2 novembre 1805,Basses-Pyrénées,Landes,3.0,47.04722792607803, Landes,False
10477,"Hippolyte, Baudel Durand",31 octobre 1805,Nièvre,Inconnu,1.0,42.47775496235455, Seine-et-Oise,False
10478,"Emmanuel, Louis Orceau de Fontette",29 octobre 1805,Calvados,Calvados,1.0,36.85694729637235, Calvados,True
10479,"Laurent, Antoine Pagnerre",25 octobre 1805,Inconnu,Inconnu,1.0,42.49418206707735, Seine-et-Oise,False
10480,"Amédée, Joseph Bertin de la Hautiere",24 octobre 1805,Manche,Inconnu,1.0,42.496919917864474, Ille-et-Vilaine,False
10481,"Jean, François, Gustave André",17 octobre 1805,Charente-Inférieure,Paris,6.0,43.57015742642026, Charente,False
10482,"Napoléon, Joseph, Auguste de Colbert-Chabannais",10 octobre 1805,Seine,Yvelines,3.0,54.724161533196444, Calvados,False
10483,"Louis, Constant Le Barillier",3 octobre 1805,Calvados,Inconnu,1.0,43.121149897330596, Calvados,True
10484,"Henry, Auguste, Georges du Vergier de La Rochejaquelein",28 septembre 1805,Gironde,Yvelines,5.0,36.941820670773446, Morbihan,False
10485,"Emile, Augustin Chazot",27 septembre 1805,Lozère,Gard,3.0,31.537303216974674, Lozère,True
10486,"Pierre, François Arbey",22 septembre 1805,Doubs,Aisne,2.0,42.5845311430527, Loiret,False
10487,"Louis, Julien, Henri Bigot",11 septembre 1805,Mayenne,Mayenne,3.0,40.16427104722793, Mayenne,True
10488,"Charles, Emmanuel, Antoine Teste",5 septembre 1805,Seine,Inconnu,2.0,37.3305954825462, Vaucluse,False
10489,"Charles, Jules Leroux",3 septembre 1805,Seine,Lieu,1.0,44.17796030116359, Creuse,False
10490,Guillaume de Maleville,30 août 1805,Dordogne,Paris,5.0,31.613963039014372, Dordogne,True
10491,Jean-Baptiste Chavoix,26 août 1805,Dordogne,Dordogne,4.0,42.65845311430527, Dordogne,True
10492,"Jean, Hyacinthe, Adolphe Collas de la Motte",25 août 1805,Finistère,Lieu,1.0,43.715263518138265, Finistère,True
10493,"Alfred, François Nettement",21 août 1805,Seine,Paris,1.0,43.72621492128679, Morbihan,False
10494,"Charles, Paulin, Roger Saubert de Larcy",20 août 1805,Gard,Drôme,6.0,33.45653661875428, Hérault,False
10495,Jules Barthélemy-Saint-Hilaire,19 août 1805,Seine,Paris,4.0,42.677618069815196, Seine-et-Oise,False
10496,"Bernard, Benoît Remacle",19 août 1805,Vaucluse,Inconnu,1.0,46.52977412731006, Bouches-du-Rhône,False
10497,"Claude, Denis, Auguste Valette",16 août 1805,Jura,Paris,2.0,42.68583162217659, Jura,True
10498,"Jacques, Charles Fleuriot de Langle",14 août 1805,Loire-Inférieure,Loire-Atlantique,1.0,65.96577686516085, Loire-Inférieure,True
10499,"Claude, François, Marcel Richier",8 août 1805,Haute-Marne,Paris,3.0,42.70773442847365, Gironde,False
10500,"Louis, Alexandre Martin",5 août 1805,Seine-Inférieure,Paris,2.0,42.959616700889804, Loiret,False
10501,Josué Hofer,1er août 1805,Haut-Rhin,Haut-Rhin,1.0,44.342231348391515, Haut-Rhin,True
10502,"Louis, René, Désiré Porion",1er août 1805,Somme,Somme,2.0,43.28815879534565, Somme,True
10503,"Charles, François Lecomte",31 juillet 1805,Mayenne,Paris,3.0,70.55715263518138, Mayenne,True
10504,"Alexis, Charles, Henri Clérel de Tocqueville",29 juillet 1805,Eure,Alpes-Maritimes,5.0,33.516769336071185, Manche,False
10505,"Maximilien, Prosper Foy",15 juillet 1805,Somme,Haute-Saône,1.0,42.77344284736482, Bas-Rhin,False
10506,"Louis, Désiré, Bonaventure de Trédern",13 juillet 1805,Inconnu,Inconnu,1.0,42.77891854893908, Ille-et-Vilaine,False
10507,"Joachim, Achille Rampon",9 juillet 1805,Seine,Paris,3.0,32.27926078028747, Ardèche,False
10508,"Jean, Benoît, Joseph, François Patras de Campaigno",2 juillet 1805,Haute-Garonne,Inconnu,2.0,58.30800821355236, Haute-Garonne,True
10509,"Charles, Laure, Hugues, Théobald de Choiseul-Praslin",29 juin 1805,Seine,Paris,1.0,33.59890485968515, Seine-et-Marne,False
10510,Arsène Aumont-Thiéville,18 juin 1805,Calvados,Paris,3.0,31.813826146475016, Calvados,True
10511,Ferdinand de Grammont,6 juin 1805,Haute-Marne,Yvelines,10.0,33.661875427789184, Haute-Saône,False
10512,Louis de Berset,3 juin 1805,Mayenne,Mayenne,1.0,44.186173853524984, Mayenne,True
10513,"Charles, Marie, Auguste Ferron de La Ferronnays",2 juin 1805,Eure,Inconnu,1.0,42.31622176591376, Gers,False
10514,"Louis, Adolphe, Napoléon Robin de Morhéry",1er juin 1805,Côtes,Paris,1.0,43.29363449691992, Côtes-du-Nord,False
10515,"Joseph, Léon Target",30 mai 1805,Charente-Inférieure,Charente-Maritime,1.0,42.899383983572896, Charente-Inférieure,True
10516,"Adrien, Théodore Benoît-Champy",25 mai 1805,Paris,Inconnu,2.0,43.96714579055441, Côte-d'Or,False
10517,Nicolas Géliot,24 mai 1805,Vosges,Inconnu,2.0,62.299794661190965, Vosges,True
10518,Joseph Faure,24 mai 1805,Rhône,Inconnu,8.0,10.245037645448322, Rhône,True
10519,Joseph Faure,24 mai 1805,Isère,Isère,8.0,10.245037645448322, Rhône,False
10520,Joseph Faure,11 juillet 1764,Rhône,Inconnu,8.0,10.245037645448322, Rhône,True
10521,Joseph Faure,11 juillet 1764,Isère,Isère,8.0,10.245037645448322, Rhône,False
10522,"Jean, Martial Bineau",18 mai 1805,Yvelines,Inconnu,5.0,36.087611225188226, Maine-et-Loire,False
10523,Frédéric Briffault,14 mai 1805,Inconnu,Inconnu,1.0,44.23271731690623, Eure-et-Loir,False
10524,Gustave de Goldenberg,10 mai 1805,Paris,Inconnu,1.0,43.60301163586585, Bas-Rhin,False
10525,"Jules, Pierre, Augustin Roussel",9 mai 1805,Seine,Cher,1.0,42.63107460643395, Mayenne,False
10526,"Isidore, Bernard David",7 mai 1805,Indre,Indre,2.0,72.27652292950035, Indre,True
10527,"Alfred, Philippe, Etienne, Gabriel, Ferdinand de Marmier",7 mai 1805,Haute-Saône,Haute-Saône,5.0,39.493497604380565, Haute-Saône,True
10528,"Léonce, Louis, Melchior de Vogüé",4 mai 1805,Seine,Paris,3.0,43.04996577686516, Cher,False
10529,Pierre Marie Pory-Papy,3 mai 1805,Martinique,Yvelines,2.0,43.51266255989049, Martinique,True
10530,Léo de Laborde,28 avril 1805,Drôme,Vaucluse,1.0,44.04106776180698, Vaucluse,False
10531,"Charles, Emile Dollfus",10 avril 1805,Haut-Rhin,Inconnu,3.0,40.26283367556468, Haut-Rhin,True
10532,Louis Frémy,2 avril 1805,Yonne,Paris,2.0,44.26830937713895, Yonne,True
10533,"Eugène, Joseph Schneider",29 mars 1805,Moselle,Paris,6.0,40.459958932238195, Saône-et-Loire,False
10534,"Prosper, Justin, Napoléon, Samuel de Chasseloup-Laubat",29 mars 1805,Paris,Inconnu,10.0,31.94524298425736, Charente-Inférieure,False
10535,"Jacques, Henri, Marie Maissiat",28 mars 1805,Ain,Ain,2.0,43.07186858316222, Ain,True
10536,"François, Philibert Dessaignes",16 mars 1805,Inconnu,Inconnu,3.0,40.81587953456537, Loir-et-Cher,False
10537,"Alexandre, Sylvestre Fourtanier",1er mars 1805,Haute-Garonne,Haute-Garonne,1.0,44.355920602327174, Haute-Garonne,True
10538,"Charles, Auguste Salmon",27 février 1805,Meurthe,Paris,2.0,43.15126625598905, Meuse,False
10539,"Jean, Henri Schyler",20 février 1805,Gironde,Gironde,1.0,47.02258726899384, Gironde,True
10540,"Louis, Adrien, Edouard, François Girou de Buzareingues",12 février 1805,Aveyron,Aveyron,4.0,46.24229979466119, Aveyron,True
10541,Auguste Blanqui,7 février 1805,Alpes-Maritimes,Paris,1.0,73.79876796714579, Gironde,False
10542,"Philippe, Auguste Demesmay",4 février 1805,Doubs,Doubs,6.0,37.42368240930869, Doubs,True
10543,"Pierre, Isidore, Adolphe Dufont",2 février 1805,Nord,Yvelines,1.0,43.219712525667354, Nord,True
10544,"Charles, Léon de Verdelhan des Molles",30 janvier 1805,Lozère,Lozère,2.0,43.227926078028744, Lozère,True
10545,Jean-Louis Langlois,21 janvier 1805,Eure,Orne,1.0,43.252566735112936, Eure,True
10546,"Blaise, Gaspard Dubruel",21 janvier 1805,Lot,Dordogne,1.0,43.252566735112936, Lot-et-Garonne,False
10547,"Napoléon, Joseph Mouton",20 janvier 1805,Nord,Paris,1.0,43.25530458590007, Nord,True
10548,"Sébastien, Joseph Boulatignier",11 janvier 1805,Manche,Jura,1.0,42.47501711156742, Manche,True
10549,"Charles, Jean-Baptiste, François Lejoindre",9 janvier 1805,Bas-Rhin,Paris,2.0,63.04996577686516, Moselle,False
10550,"Gustave, Louis, Adolphe Lemercier de Maisoncelle-Vertille de Richemont",1er janvier 1805,Guadeloupe,Inconnu,8.0,32.27378507871321, Lot-et-Garonne,False
10551,"Philippe, Ezéchiel Lebleu",29 décembre 1804,Nord,Nord,1.0,43.31553730321698, Pas-de-Calais,False
10552,"Charles, Léonce Gouhier de Charencey",29 décembre 1804,Orne,Orne,2.0,43.31553730321698, Orne,True
10553,"Joseph, Alphonse Baudelot",22 décembre 1804,Aisne,Aisne,3.0,43.3347022587269, Aisne,True
10554,"Jean, Fleuret Denayrouse",21 décembre 1804,Aveyron,Aveyron,1.0,44.39151266255989, Aveyron,True
10555,"Jean, Félix, Auguste Louriou",16 décembre 1804,Oise,Inconnu,1.0,44.40520191649555, Cher,False
10556,Pierre Sansas,13 décembre 1804,Gironde,Yvelines,2.0,66.15195071868582, Gironde,True
10557,"Louis, Gabriel, Alfred, Ladislas de Briançon-Vachon de Belmont",10 décembre 1804,Somme,Seine-Maritime,2.0,51.15400410677618, Basses-Pyrénées,False
10558,"Etienne, Armand, Napoléon de Cambacérès",5 décembre 1804,Paris,Inconnu,4.0,38.32169746748802, Aisne,False
10559,"Louis, Bernard Bonjean",4 décembre 1804,Drôme,Paris,1.0,44.030116358658454, Drôme,True
10560,Léopold Javal,1er décembre 1804,Haut-Rhin,Paris,4.0,53.440109514031484, Yonne,False
10561,Robert Goutay,21 novembre 1804,Paris,Inconnu,1.0,43.419575633128, Puy-de-Dôme,False
10562,Auguste Gleizal,17 novembre 1804,Ardèche,Ardèche,3.0,44.48459958932238, Ardèche,True
10563,"Arnould, Charles Cunin-Gridaine",8 novembre 1804,Ardennes,Paris,1.0,44.75290896646133, Ardennes,True
10564,"André, Adolphe Duléry de Peyramont",5 novembre 1804,Haute-Vienne,Yvelines,5.0,35.02532511978097, Creuse,False
10565,"Antoine, Marie, Joseph Maire",4 novembre 1804,Inconnu,Inconnu,1.0,44.03285420944559, Côte-d'Or,False
10566,"Louis, Frédéric, François Leblanc de Prébois",2 novembre 1804,Paris,Inconnu,1.0,44.19712525667351, Anciens départements d'Algérie,False
10567,"Adolphe, Emmanuel, Charles Le Flô",2 novembre 1804,Finistère,Finistère,3.0,44.59958932238193, Finistère,True
10568,"Jules, Evariste, Joseph Cardon de Montigny",1er novembre 1804,Inconnu,Inconnu,1.0,45.33607118412046, Pas-de-Calais,False
10569,"Pierre, François Savatier-Laroche",28 octobre 1804,Yonne,Yonne,1.0,44.539356605065024, Yonne,True
10570,"Joseph, Henri Galos",26 octobre 1804,Gironde,Gironde,4.0,32.45722108145106, Gironde,True
10571,"Alfred, Xavier De la Douëpe du Fougerais",24 octobre 1804,Sarthe,Inconnu,1.0,44.550308008213555, Vendée,False
10572,"Louis, Félix Parigot",20 octobre 1804,Aube,Aube,1.0,66.78165639972622, Aube,True
10573,"François, Marie, Hyacinthe Dahirel",15 octobre 1804,Morbihan,Alpes-Maritimes,3.0,43.520876112251884, Morbihan,True
10574,Pascal Duguet,18 septembre 1804,Seine,Marne,1.0,60.153319644079396, Marne,False
10575,"Paul, Edouard Gloxin",16 septembre 1804,Bas-Rhin,Bas-Rhin,1.0,43.60027378507871, Bas-Rhin,True
10576,"Jules, Maurice, Barthélemy Renouvier",13 septembre 1804,Hérault,Hérault,1.0,43.60848733744011, Hérault,True
10577,"Aymar, Gabriel de Blois de la Calande",11 septembre 1804,Finistère,Lieu,1.0,44.506502395619435, Finistère,True
10578,"Guillaume, Pierre, François Petit",1er septembre 1804,Eure,Inconnu,2.0,59.389459274469544, Eure,True
10579,Edmond de Cazalès,31 août 1804,Haute-Garonne,Inconnu,2.0,43.644079397672826, Tarn-et-Garonne,False
10580,"Louis, Gabriel, César de Kergorlay",28 août 1804,Seine,Oise,1.0,66.92676249144422, Oise,False
10581,Alphonse Leret d'Aubigny,23 août 1804,Sarthe,Sarthe,3.0,53.24845995893224, Sarthe,True
10582,"Alphonse, Marie Bedeau",19 août 1804,Loire-Inférieure,Loire-Atlantique,2.0,43.676933607118414, Loire-Inférieure,True
10583,"Matthieu, Napoléon Bardy",16 août 1804,Inconnu,Inconnu,1.0,43.68514715947981, Haut-Rhin,False
10584,Hippolyte Thomé de Kéridec,12 août 1804,Morbihan,Yvelines,2.0,44.427104722792606, Morbihan,True
10585,"Thomas, Joseph, Marie, Alfred de Surian",7 août 1804,Inconnu,Inconnu,2.0,34.573579739904176, Bouches-du-Rhône,False
10586,"Napoléon, Joseph, Léon Duchatel",5 août 1804,Seine,Paris,1.0,39.59753593429158, Charente-Inférieure,False
10587,"Charles, Marie Becquet",1er août 1804,Bas-Rhin,Inconnu,1.0,48.14236824093087, Bas-Rhin,True
10588,"André, Marie, Adolphe Découvrant",31 juillet 1804,Finistère,Finistère,1.0,43.728952772073924, Finistère,True
10589,"Emile, Toussaint, Marie Dépasse",29 juillet 1804,Côtes,Côtes,3.0,43.73442847364819, Côtes-du-Nord,False
10590,"Ferdinand, Aldegonde de Jouvencel",25 juillet 1804,Inconnu,Inconnu,3.0,38.119096509240244, Seine,False
10591,"François, Simon, Gustave Ratier",24 juillet 1804,Indre,Morbihan,2.0,71.57563312799452, Morbihan,False
10592,Victor Schoelcher,22 juillet 1804,Seine,Yvelines,4.0,44.13141683778234, Martinique,False
10593,"Joseph, Emmanuel Barthélemy",22 juillet 1804,Inconnu,Inconnu,1.0,43.75359342915811, Bouches-du-Rhône,False
10594,"Benjamin, Barthélémy Dejean",17 juillet 1804,Seine,Paris,5.0,32.733744010951405, Aude,False
10595,"Adrien, Joseph Gislain de Bontin",11 juillet 1804,Yonne,Paris,1.0,41.16906228610541, Yonne,True
10596,"Alphonse, Marie, Pierre Delebecque",4 juillet 1804,Nord,Inconnu,1.0,45.097878165639976, Nord,True
10597,Edme Letrone,4 juillet 1804,Sarthe,Sarthe,1.0,34.82546201232033, Orne,False
10598,"Irénée, Faustin Fréchon",28 juin 1804,Inconnu,Inconnu,2.0,43.81930184804928, Pas-de-Calais,False
10599,"Louis, Marie, Paul Vogt d'Hunolstein",22 juin 1804,Seine,Paris,6.0,31.66324435318275, Moselle,False
10600,"Jean-Jacques, François Picard",21 juin 1804,Eure,Eure,1.0,43.83846680355921, Eure,True
10601,Alfred Renouard de Bussière,14 juin 1804,Bas-Rhin,Paris,7.0,40.550308008213555, Bas-Rhin,True
10602,"Emile, Auguste Leroux",10 juin 1804,Oise,Loiret,3.0,43.54551676933607, Oise,True
10603,"Victor, Marius, César Clappier",1er juin 1804,Basses-Alpes,Inconnu,2.0,35.27173169062286, Var,False
10604,Charles Levavasseur,31 mai 1804,Seine-Inférieure,Eure,5.0,38.52977412731006, Seine-Inférieure,True
10605,Ernest Feray,29 mai 1804,Essonne,Essonne,1.0,67.17590691307323, Seine-et-Oise,False
10606,Michel Mallevergne,9 mai 1804,Corrèze,Paris,1.0,66.90485968514716, Haute-Vienne,False
10607,"Louis, Hugues Flandin",6 mai 1804,Seine,Paris,2.0,43.88227241615332, Seine-et-Oise,False
10608,Jules Bernard-Dutreil,5 mai 1804,Sarthe,Sarthe,2.0,43.96714579055441, Mayenne,False
10609,"Alexandre, Marcel, Melchior Bodin dit de Montribloud",23 avril 1804,Ain,Inconnu,4.0,44.0, Ain,True
10610,"Gabriel, Edmond Rousseau de Saint-Aignan",23 avril 1804,Seine,Paris,1.0,41.711156741957566, Nord,False
10611,"Michel, Louis, Félix Ney d'Elchingen",22 avril 1804,Seine,Inconnu,1.0,41.713894592744694, Pas-de-Calais,False
10612,"Louis, François, Francisque Lélut",15 avril 1804,Haute-Saône,Haute-Saône,4.0,44.02190280629706, Haute-Saône,True
10613,"Auguste, Napoléon Parandier",14 avril 1804,Jura,Lieu,1.0,40.82135523613963, Doubs,False
10614,"Etienne, Frédéric, Auguste Portalis",13 avril 1804,Paris,Inconnu,2.0,31.46611909650924, Var,False
10615,"Charles, Alexandre, Gustave Sautayra",12 avril 1804,Drôme,Paris,2.0,43.383983572895275, Drôme,True
10616,"Hippolyte, Benoît Perras",9 avril 1804,Loire,Paris,2.0,58.77344284736482, Rhône,False
10617,"Ernest, François, Richard Grelier de Fougeroux",9 avril 1804,Vendée,Vendée,2.0,43.6331279945243, Vendée,True
10618,"François, Bertrand, Armand de Vergeron",5 avril 1804,Basses-Pyrénées,Pyrénées-Atlantiques,1.0,45.02395619438741, Basses-Pyrénées,True
10619,Jean-Charles de Lesseps,2 avril 1804,Basses-Pyrénées,Inconnu,1.0,41.927446954141, Lot-et-Garonne,False
10620,"Félix, Bernard Datas",31 mars 1804,Deux-Sèvres,Paris,2.0,74.69404517453799, Allier,False
10621,Adolphe Bezanson,25 mars 1804,Ardennes,Yvelines,1.0,44.07939767282683, Seine-et-Oise,False
10622,"Charles, Jean, Edmond de Limairac",21 mars 1804,Marne,Haute-Garonne,1.0,45.14442162902122, Haute-Garonne,False
10623,"Louis, Charles Valette",17 mars 1804,Moselle,Inconnu,1.0,44.101300479123886, Moselle,True
10624,"Léon, Pierre Bérard de Chazelles",15 mars 1804,Alpes-Maritimes,Inconnu,3.0,45.16084873374401, Puy-de-Dôme,False
10625,Eugène Bethmont,12 mars 1804,Seine,Paris,3.0,37.76043805612594, Seine,True
10626,"Théophile, Jean, Marie Bidard",11 mars 1804,Inconnu,Inconnu,2.0,43.46885694729637, Ille-et-Vilaine,False
10627,"René, Anne, Victurnien, Roger de Mortemart de Rochechouart",10 mars 1804,Seine,Paris,5.0,43.28268309377139, Rhône,False
10628,Charles Lagrange,28 février 1804,Seine,Inconnu,2.0,44.10403832991102, Seine,True
10629,Marc dit Saint-Marc-Girardin,22 février 1804,Seine,Yvelines,5.0,30.327173169062284, Haute-Vienne,False
10630,Louis Piccon,22 février 1804,Alpes-Maritimes,Alpes-Maritimes,1.0,67.44147843942505, Alpes-Maritimes,True
10631,"Thomas, Gaspard Malo",22 février 1804,Inconnu,Inconnu,1.0,44.167008898015055, Nord,False
10632,"Tristan, Mathieu Duché",21 février 1804,Loire,Inconnu,1.0,45.223819301848046, Loire,True
10633,"Louis, Marie Marcein de Carné",17 février 1804,Finistère,Finistère,3.0,34.96235455167693, Finistère,True
10634,"Charles, Joseph, James Princeteau",14 février 1804,Gironde,Gironde,1.0,67.4633812457221, Gironde,True
10635,"Joachim, Marie, Jean-Jacques, Alexandre, Jules Ambert",8 février 1804,Lot,Paris,2.0,43.723477070499655, Lot,True
