,Département de naissance,Département de mort,Nom
0,Savoie,Inconnu,Renaud Dutreil
0,Savoie,Inconnu,Hervé Gaymard
0,Hautes-Pyrénées,Inconnu,François De Mazières
0,Seine,Inconnu,Pascal Ménage
0,Seine-Inférieure,Inconnu,Didier Marie
0,Vendée,Inconnu,Patrick Loiseau
0,Inconnu,Inconnu,Gilles Bourdouleix
0,Mayotte,Inconnu,Abdoulatifou Aly
0,Gard,Inconnu,Françoise Dumas
0,Doubs,Inconnu,Philippe Berta
0,Finistère,Inconnu,Graziella Melchior
0,Côtes,Inconnu,Annie Le Houerou
0,Inconnu,Inconnu,Christian Paul
0,Seine,Inconnu,Marie-Hélène Amiable
0,Sarthe,Inconnu,Guy Hascoet
0,Nord,Inconnu,Pascale Gruny
0,Loire-Inférieure,Inconnu,Michel Hunault
0,Inconnu,Inconnu,Patrice Calméjane
0,Sarthe,Inconnu,Stéphane Le Foll
0,Somme,Inconnu,Pascal Demarthe
0,Inconnu,Inconnu,Jean-François Parigi
0,Seine,Inconnu,Michel Vialay
0,Inconnu,Inconnu,Dominique Tian
0,Inconnu,Inconnu,Christian Jacob
0,Seine,Inconnu,Pascal Bois
0,Inconnu,Inconnu,Bruno Millienne
0,Essonne,Inconnu,François Lamy
0,Nord,Inconnu,Dominique Baert
0,Hautes-Alpes,Inconnu,Joël Giraud
0,Meuse,Inconnu,Bérengère Poletti
0,Inconnu,Inconnu,Élie Aboud
0,Seine-Inférieure,Inconnu,Valérie Fourneyron
0,Inconnu,Inconnu,Josiane Corneloup
0,Morbihan,Inconnu,Nicole Le Peih
0,Guyane,Inconnu,Gabriel Serville
0,Finistère,Inconnu,Jean-Jacques Urvoas
0,Inconnu,Inconnu,Sophie Mette
0,Gironde,Inconnu,Sandrine Doucet
0,Savoie,Inconnu,Dominique Dord
0,Manche,Inconnu,Yves Goasdoué
0,Inconnu,Inconnu,Mohamed Laqhila
0,Nord,Inconnu,Brigitte Liso
0,Inconnu,Inconnu,Véronique Massonneau
0,Inconnu,Inconnu,Kader Arif
0,Mayenne,Inconnu,Françoise Olivier-Coupeau
0,Inconnu,Inconnu,Sabine Thillaye
0,Inconnu,Inconnu,Renaud Muselier
0,Inconnu,Inconnu,Brigitte Kuster
0,Haut-Rhin,Inconnu,Bruno Fuchs
0,Meurthe,Inconnu,Isabelle Vasseur
0,Mayotte,Inconnu,Mansour Kamardine
0,Côtes,Inconnu,Viviane Le Dissez
0,Inconnu,Inconnu,Brigitte Bourguignon
0,Seine,Inconnu,Serge Grouard
0,Seine,Inconnu,Marisol Touraine
0,Vosges,Inconnu,Maryvonne Briot
0,Seine,Inconnu,Maurice Leroy
0,Guyane,Inconnu,Juliana Rimane
0,Ardennes,Inconnu,Claudine Ledoux
0,Inconnu,Inconnu,Éric Coquerel
0,Bas-Rhin,Inconnu,Pierre Morel-A-l'Huissier
0,Finistère,Inconnu,Jean-Luc Bleunven
0,Meurthe,Inconnu,Jean-Marc Fournel
0,Nièvre,Inconnu,Gaetan Gorce
0,Sarthe,Inconnu,Dominique Le Mèner
0,Inconnu,Inconnu,Hervé Mariton
0,Doubs,Inconnu,Dominique Voynet
0,Inconnu,Inconnu,Michèle Victory
0,Inconnu,Inconnu,Philippe Gomès
0,Charente,Inconnu,Martine Pinville
0,Seine,Inconnu,Louis Giscard d'Estaing
0,Basses-Pyrénées,Inconnu,Colette Capdevielle
0,Inconnu,Inconnu,Béatrice Pavy
0,Seine-Inférieure,Inconnu,Jean-Paul Lecoq
0,Gironde,Inconnu,Yves Foulon
0,Inconnu,Inconnu,Bruno Bonnell
0,Guyane,Inconnu,Chantal Berthelot
0,Hautes-Pyrénées,Inconnu,Jean-Luc Lagleize
0,Inconnu,Inconnu,Yannick Favennec
0,Vaucluse,Inconnu,Thierry Mariani
0,Inconnu,Inconnu,Georges Siffredi
0,Haute-Loire,Inconnu,Jacques Marilossian
0,Seine,Inconnu,Alain Ramadier
0,Inconnu,Inconnu,Christophe Guilloteau
0,Seine,Inconnu,Jean-René Cazeneuve
0,Meurthe,Inconnu,Éric Alauzet
0,Meuse,Inconnu,Bertrand Pancher
0,Haut-Rhin,Inconnu,Jacques Cattin
0,Inconnu,Inconnu,Laurence Dumont
0,Inconnu,Inconnu,François Cornut-Gentille
0,Inconnu,Inconnu,Gilles Le Gendre
0,Nord,Inconnu,Francis Vercamer
0,Loire-Inférieure,Inconnu,Christophe Priou
0,Inconnu,Inconnu,Cyrille Isaac-Sibille
0,Inconnu,Inconnu,Jean-Louis Rousselin
0,Nord,Inconnu,Catherine Kamowski
0,Inconnu,Inconnu,Eric Besson
0,Inconnu,Inconnu,Annick Lepetit
0,Allier,Inconnu,Jean-Paul Dufrègne
0,Finistère,Inconnu,Jacques Le Guen
0,Moselle,Inconnu,Michel Liebgott
0,Inconnu,Inconnu,Dominique Chauvel
0,Marne,Inconnu,Frédéric Saint-Sernin
0,Drôme,Inconnu,Philippe Vigier
0,Hérault,Inconnu,Patrick Vignal
0,Jura,Inconnu,Marie-Christine Dalloz
0,Hautes-Pyrénées,Inconnu,Jeanine Dubié
0,Inconnu,Inconnu,Thierry Mandon
0,Inconnu,Inconnu,Emmanuel Hamelin
0,Nord,Inconnu,Jean-Louis Bricout
0,Essonne,Inconnu,Marianne Dubois
0,Haute-Garonne,Inconnu,Pierre Cabaré
0,Cantal,Inconnu,Alain Calmette
0,Corrèze,Inconnu,Marie-Anne Montchamp
0,Inconnu,Inconnu,Paul Jeanneteau
0,Eure,Inconnu,Gautier Audinot
0,Seine,Inconnu,Bernard Carayon
0,Landes,Inconnu,Pierre Bédier
0,Haute-Saône,Inconnu,Denis Sommer
0,Seine,Inconnu,Richard Lioger
0,Seine,Inconnu,Pierre Moscovici
0,Savoie,Inconnu,Jean-Paul Calloud
0,Cher,Inconnu,Martine Leguille-Balloy
0,Saint-Barthélemy,Inconnu,Claire Guion-Firmin
0,Nord,Lieu,Patrick Roy
0,Inconnu,Inconnu,Régine Povéda
0,Inconnu,Inconnu,Georges Tron
0,Haute-Marne,Inconnu,Sophie Delong
0,Corrèze,Inconnu,Philippe Nauche
0,Orne,Inconnu,Jean-Luc Gouyon
0,Gard,Inconnu,Alain Fabre-Pujol
0,Seine,Inconnu,Jean-Luc Laurent
0,Inconnu,Inconnu,Jérôme Lambert
0,Inconnu,Inconnu,Nadia Essayan
0,Inconnu,Inconnu,Paul Giacobbi
0,Var,Inconnu,Jacqueline Dubois
0,Pyrénées-Orientales,Inconnu,Jacqueline Irles
0,Inconnu,Inconnu,Jean-François Jalkh
0,Vaucluse,Inconnu,Jean-Claude Bouchet
0,Nord,Inconnu,Bruno Duvergé
0,Vosges,Inconnu,Jean-Pierre Thomas
0,Inconnu,Inconnu,Michel Lauzzana
0,Inconnu,Inconnu,Henri Guaino
0,Lozère,Inconnu,Francis Saint-Léger
0,Gironde,Inconnu,Daniel Picotin
0,Nord,Inconnu,Jean-Yves Caullet
0,Pyrénées-Orientales,Inconnu,Jean-Michel Fauvergue
0,Inconnu,Inconnu,Alain Marc
0,Inconnu,Inconnu,Bernard Perrut
0,Seine-Inférieure,Inconnu,Fanny Dombre Coste
0,Seine-Inférieure,Inconnu,Hubert Wulfranc
0,Inconnu,Inconnu,Marc Le Fur
0,Gironde,Inconnu,François Deluga
0,Seine,Inconnu,Frédérique Bredin
0,Inconnu,Inconnu,Michel Grégoire
0,Inconnu,Inconnu,Jean Dionis du Séjour
0,Inconnu,Inconnu,Annie Vidal
0,Inconnu,Inconnu,Pierre Morange
0,Doubs,Inconnu,Annie Genevard
0,Inconnu,Inconnu,Didier Martin
0,Isère,Inconnu,Marie-Noëlle Battistel
0,Alpes-Maritimes,Inconnu,Jean-François Eliaou
0,Haute-Saône,Inconnu,Hervé Féron
0,Morbihan,Inconnu,Guénhaël Huet
0,Isère,Inconnu,André Vallini
0,Basses-Alpes,Inconnu,Gilbert Sauvan
0,Inconnu,Inconnu,Patrick Bloche
0,Vienne,Inconnu,Frédérique Tuffnell
0,Dordogne,Inconnu,Colette Langlade
0,Haute-Garonne,Inconnu,Joël Aviragnet
0,Inconnu,Inconnu,Florence Delaunay
0,Finistère,Inconnu,Marguerite Lamour
0,Inconnu,Inconnu,Rémi Delatte
